aggrieved,,,,,1,,,adjective,Feeling distress or affliction.
aghast,1,1,,1,1,,,adjective,struck with fear$ dread$ or consternation
agile,,,,,1,1,,adjective,mentally quick
agility,1,,,,,,,noun,the gracefulness of a person or animal that is quick and nimble
agitate,1,,,,1,1,,verb,change the arrangement or position of
agitation,1,,,,1,,,noun,disturbance usually in protest
aglow,,,,,1,1,,adjective,softly bright or radiant
agnostic,1,,1,,1,,,adjective,uncertain of all claims to knowledge
agrarian,1,1,1,,,,,adjective,relating to rural matters
agronomist,1,,,,,,,noun,an expert in soil management and field-crop production
ailment,,,,,1,1,,noun,an often persistent bodily disorder or disease; a cause for complaining
ajar,,,,,1,1,,adjective,slightly open
akin,,,,,1,1,,adjective,similar in quality or character
alacrity,1,1,1,,,,,noun,liveliness and eagerness
albeit,1,,,,,,,noun,Even though; although; notwithstanding:  clear albeit cold weather.
albino,,,,,1,1,,noun,a person with congenital albinism: white hair and milky skin; eyes are usually pink
alchemy,1,1,,1,,,,noun,a pseudoscientific forerunner of chemistry in medieval times
alcove,1,,,,,,,noun,a small recess opening off a larger room
alert,,,,,1,1,,adjective,engaged in or accustomed to close observation
alias,1,,,,,,,adverb,as known or named at another time or place
alienate,1,,,1,1,,,verb,transfer property or ownership
alight,,,,,1,,,verb,to come to rest$ settle
alignment,,,,,1,,,noun,the act of adjusting or aligning the parts of a device in relation to each other
alike,,,,,1,,,adjective,having the same or similar characteristics
alimentary,1,,,,,,,adjective,of or providing nourishment
alimony,1,,,,,,,noun,court-ordered support paid by one spouse to another after they are separated
alive,,,,,1,,,adjective,capable of erupting
allay,1,,,,,,,verb,lessen the intensity of or calm
allege,1,,1,,1,,,verb,report or maintain
allegiance,,,,1,1,,,noun,the act of binding yourself (intellectually or emotionally) to a course of action
allegory,1,1,,1,,,,noun,an expressive style that uses fictional characters and events to describe some subject by suggestive resemblances; an extended metaphor
alleviate,1,1,1,,1,1,1,verb,provide physical relief$ as from pain
alliance,,,,,1,,,noun,the act of forming an alliance or confederation
alliteration,1,,,,,,,noun,use of the same consonant at the beginning of each stressed syllable in a line of verse
allocate,1,1,1,,1,,,verb,distribute according to a plan or set apart for a special purpose
allot,,,,1,1,,,verb,administer or bestow$ as in small portions
allowance,,,,,1,,,noun,an amount allowed or granted (as during a given period)
alloy,1,1,1,,,,,noun,a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
allude,1,,,,1,,,verb,make a more or less disguised reference to
allure,1,,,,1,,,verb,dispose or incline or entice to
